,Count,Word
28,55,the
14,33,and
30,27,of
8,22,light
90,17,for
5,17,truth
24,16,be
16,14,let
17,13,knowledge
87,11,is
21,11,to
6,10,in
80,9,there
54,9,god
49,8,a
111,7,learning
13,6,mind
26,6,life
10,5,we
73,5,through
40,5,you
9,5,shall
0,4,under
41,4,free
101,4,its
105,4,service
128,4,education
89,4,peace
131,4,our
19,4,from
69,4,science
56,4,i
183,3,do
70,3,art
177,3,country
160,3,world
174,3,that
94,3,liberty
172,3,all
117,3,not
119,3,but
132,3,or
153,3,glory
158,3,forth
167,3,by
112,3,virtue
96,3,better
37,3,are
48,2,make
192,2,greater
126,2,labor
122,2,freely
114,2,think
110,2,citizens
34,2,laws
100,2,unto
95,2,ever
84,2,bear
35,2,without
93,2,excel
91,2,humanity
36,2,morals
88,2,work
133,2,divine
233,2,with
231,2,civilization
227,2,revelation
143,2,seek
145,2,great
223,2,as
148,2,making
211,2,living
7,2,thy
175,2,may
178,2,church
199,2,your
2,2,power
195,2,future
188,2,transforming
189,2,lives
86,2,my
191,2,spirit
44,2,true
262,2,sisters
55,2,hope
72,2,strength
75,2,heart
61,2,where
59,2,an
39,2,set
62,2,any
45,2,word
212,1,moves
213,1,mountains
217,1,esquire
275,1,before
296,1,rivers
214,1,generosity
295,1,planted
215,1,e
216,1,williams
210,1,industry
259,1,disciplina
218,1,them
209,1,pursuits
219,1,enlighten
220,1,lands
221,1,ministered
222,1,minister
274,1,first
224,1,eagle
225,1,towards
226,1,sky
294,1,tree
207,1,other
208,1,honest
297,1,water
193,1,river
280,1,conquer
279,1,sign
194,1,inventing
278,1,this
196,1,accomplish
197,1,being
277,1,excellence
198,1,conspicuous
282,1,nearest
200,1,shine
201,1,religion
299,1,fruit
202,1,city
298,1,bringeth
203,1,university
276,1,self
204,1,change
205,1,here
206,1,studies
228,1,announcement
273,1,integrity
272,1,palaceÂ 
229,1,words
254,1,way
283,1,east
247,1,philosophers
248,1,renaissance
249,1,solidarity
250,1,pioneers
286,1,brothers
251,1,global
252,1,seapower
253,1,following
267,1,corner
255,1,reason
288,1,love
256,1,delight
284,1,minerva
266,1,daughters
265,1,cross
257,1,scientia
264,1,valiantly
263,1,heaven
285,1,become
261,1,twin
258,1,et
287,1,shield
246,1,sumner
230,1,illuminates
237,1,arisen
260,1,nature
232,1,prospers
271,1,similitude
234,1,commerce
270,1,after
293,1,like
292,1,rise
235,1,cherished
236,1,has
291,1,adversities
269,1,polished
245,1,charles
238,1,unmindful
239,1,know
240,1,thyself
268,1,stones
241,1,duty
281,1,west
290,1,beautiful
243,1,ardor
289,1,good
244,1,devotion
242,1,honor
151,1,practice
190,1,send
81,1,whoever
64,1,can
65,1,find
66,1,instruction
67,1,study
68,1,letters
71,1,sweetness
74,1,wise
76,1,seeks
77,1,both
78,1,into
79,1,one
82,1,earns
187,1,advancing
83,1,palm
85,1,it
92,1,persevere
97,1,also
98,1,always
99,1,even
102,1,innermost
103,1,parts
104,1,progress
106,1,welfare
107,1,state
63,1,person
60,1,institution
58,1,found
57,1,would
3,1,she
4,1,flourishes
11,1,see
15,1,hand
18,1,grow
20,1,more
22,1,more;
23,1,so
25,1,human
27,1,enriched
29,1,wind
31,1,freedom
32,1,blows
33,1,faith
38,1,useless
42,1,whatsoever
43,1,things
46,1,full
47,1,grace
50,1,voice
51,1,crying
52,1,out
53,1,wilderness
108,1,depends
109,1,upon
113,1,piety
152,1,trust
155,1,enter
156,1,learn
157,1,go
159,1,servethe
161,1,campus
162,1,skill
163,1,character
164,1,wisdom
165,1,adversity
166,1,stars
168,1,sword
169,1,only
170,1,common
171,1,bond
173,1,arts
176,1,serve
179,1,texas
180,1,breadth
181,1,depth
182,1,perspective
184,1,opportunity
185,1,torah
186,1,secular
154,1,intelligence
1,1,god's
115,1,beyond
150,1,theory
116,1,possible
118,1,oneself
120,1,one's
121,1,own
123,1,ye
124,1,received
125,1,give
127,1,thoroughness
129,1,guardian
130,1,society
134,1,within
135,1,universe
136,1,however
137,1,manifested
138,1,unity
139,1,charity
140,1,crowns
141,1,those
142,1,who
144,1,her
146,1,citizenship
147,1,research
149,1,will
300,1,season
